"airplaneID","AirlineID","airplaneType"
10747,"3U","319 320"
10748,"3U","320"
10749,"3U","320"
10750,"3U","320"
10751,"3U","320"
10752,"3U","320"
10753,"3U","320"
10754,"3U","320"
10755,"3U","319"
10756,"3U","321"
10757,"3U","321"
10758,"3U","320"
10759,"3U","321"
10760,"3U","320"
10761,"3U","321"
10762,"3U","321"
10763,"3U","319"
10764,"3U","321"
10765,"3U","321"
10766,"3U","320 321"
10767,"3U","321"
10768,"3U","321"
10769,"3U","321"
10770,"3U","321"
10771,"3U","320 321"
10772,"3U","321"
10773,"3U","321"
10774,"3U","321"
10775,"3U","321"
10776,"3U","320"
10777,"3U","319"
10778,"3U","319"
10779,"3U","319"
10780,"3U","320"
10781,"3U","320"
10782,"3U","319"
10783,"3U","319"
10784,"3U","319"
10785,"3U","319"
10786,"3U","321"
10787,"3U","319"
10788,"3U","321"
10789,"3U","320"
10790,"3U","319 320"
10791,"3U","320"
10792,"3U","320"
10793,"3U","319"
10794,"3U","319"
10795,"3U","320"
10796,"3U","319"
10797,"3U","320"
10798,"3U","320"
10799,"3U","320"
10800,"3U","320"
10801,"3U","320"
10802,"3U","320"
10803,"3U","320"
10804,"3U","320"
10805,"3U","320"
10806,"3U","320"
10807,"3U","320"
10808,"3U","320"
10809,"3U","320"
10810,"3U","320"
10811,"3U","320"
10812,"3U","321"
10813,"3U","321"
10814,"3U","320"
10815,"3U","321"
10816,"3U","320"
10817,"3U","321"
10818,"3U","320"
10819,"3U","319 321"
10820,"3U","319"
10821,"3U","319"
10822,"3U","319"
10823,"3U","321"
10824,"3U","321"
10825,"3U","319"
10826,"3U","319"
10827,"3U","319"
10828,"3U","319"
10829,"3U","319"
10830,"3U","319"
10831,"3U","330 319"
10832,"3U","319"
10833,"3U","319"
10834,"3U","319"
10835,"3U","319 320"
10836,"3U","319"
10837,"3U","330"
10838,"3U","319"
10839,"3U","319"
10840,"3U","320"
10841,"3U","320"
10842,"3U","319"
10843,"3U","321"
10844,"3U","321"
10845,"3U","321"
10846,"3U","320"
10847,"3U","321"
10848,"3U","321"
10849,"3U","320"
10850,"3U","319"
10851,"3U","319 320"
10852,"3U","319"
10853,"3U","319"
10854,"3U","320"
10855,"3U","319"
10856,"3U","320"
10857,"3U","319"
10858,"3U","319 320"
10859,"3U","320"
10860,"3U","321"
10861,"3U","319"
10862,"3U","321"
10863,"3U","319 321 320"
10864,"3U","321 320 330"
10865,"3U","320"
10866,"3U","320"
10867,"3U","320 319"
10868,"3U","330 321"
10869,"3U","330"
10870,"3U","319"
10871,"3U","319"
10872,"3U","320"
10873,"3U","320"
10874,"3U","330"
10875,"3U","319"
10876,"3U","321"
10877,"3U","321"
10878,"3U","320"
10879,"3U","330"
10880,"3U","320"
10881,"3U","321"
10882,"3U","321"
10883,"3U","330"
10884,"3U","330"
10885,"3U","319"
10886,"3U","330"
10887,"3U","320"
10888,"3U","321"
10889,"3U","321"
10890,"3U","320"
10891,"3U","320"
10892,"3U","321"
10893,"3U","320"
10894,"3U","321"
10895,"3U","321"
10896,"3U","319"
10897,"3U","320"
10898,"3U","320 321"
10899,"3U","319"
10900,"3U","321"
10901,"3U","320"
10902,"3U","321"
10903,"3U","321"
10904,"3U","321"
10905,"3U","321"
10906,"3U","320 321"
10907,"3U","320"
10908,"3U","321"
10909,"3U","320"
10910,"3U","320"
10911,"3U","320"
10912,"3U","320"
10913,"3U","320 319"
10914,"3U","319"
10915,"3U","321"
10916,"3U","320"
10917,"3U","321"
10918,"3U","321"
10919,"3U","319"
10920,"3U","321"
10921,"3U","319"
10922,"3U","319"
10923,"3U","320"
10924,"3U","321"
10925,"3U","319"
10926,"3U","320"
10927,"3U","320"
10928,"3U","319 330"
10929,"3U","319"
10930,"3U","319"
10931,"3U","319"
10932,"3U","319"
10933,"3U","320"
10934,"3U","321"
10935,"3U","320"
10936,"3U","321"
10937,"3U","319"
10938,"3U","319"
10939,"3U","321"
10940,"3U","319"
10941,"3U","321"
10942,"3U","319"
10943,"3U","319"
10944,"3U","320"
10945,"3U","319"
10946,"3U","320"
10947,"3U","320"
10948,"3U","319"
10949,"3U","320"
10950,"3U","321"
10951,"3U","319"
10952,"3U","320 319"
10953,"3U","319"
10954,"3U","319"
10955,"3U","321"
10956,"3U","320"
10957,"3U","319"
10958,"3U","319 320"
10959,"3U","320"
10960,"3U","319"
10961,"3U","319"
